"dev_eui (S)","server_time (S)","bridge_dev_eui (S)","contact_class_score (S)","contact_class_score_diff (N)","contact_id (S)","contact_reported_atstamp (N)","contact_type (S)","counter (S)","current_msg_atstamp (N)","data_type (S)","delay (N)","message (S)","message_sent_at (S)","network (S)","port (N)"
"1677912DF5CC","2021-04-05T18:16:20.753Z","277ACAC128203005","0","51","012D","1139043","2","8","1139118","0e","194","c21677912df5cc0e001161ae0011615a012d33020011615a93285b020011615a01ba16010011615a481f330200116163481f930200116163012d3302ffffff","2021-04-05T18:20:49.753Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:16:29.725Z","277ACAC128203005","0","147","481F","1139052","2","7","1139119","0e","189","bd1677912df5cc0e001161af0011616301ba330200116163932893020011616c012d93020011616c932893020011616c01ba76020011616c481f9302ffffff","2021-04-05T18:20:45.725Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:16:40.313Z","277ACAC128203005","0","91","9328","1139062","2","3","1139119","0e","173","ad1677912df5cc0e001161af00116176481f330200116176012d33020011617601ba16010011617693285b020011617f481f93020011617f01ba1a02ffffff","2021-04-05T18:20:30.313Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:16:48.893Z","277ACAC128203005","0","51","012D","1139071","2","2","1139119","0e","169","a91677912df5cc0e001161af0011617f012d330200116188481f9302001161889328930200116188012d93020011618801ba760200116192012d3302ffffff","2021-04-05T18:20:25.893Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:16:49.313Z","277ACAC128203005","0","26","01BA","1139071","2","3","1139119","0e","173","ad1677912df5cc0e001161af00116176481f330200116176012d33020011617601ba16010011617693285b020011617f481f93020011617f01ba1a02ffffff","2021-04-05T18:20:30.313Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:16:57.893Z","277ACAC128203005","0","118","01BA","1139080","2","2","1139119","0e","169","a91677912df5cc0e001161af0011617f012d330200116188481f9302001161889328930200116188012d93020011618801ba760200116192012d3302ffffff","2021-04-05T18:20:25.893Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:17:07.893Z","277ACAC128203005","0","51","012D","1139090","2","2","1139119","0e","169","a91677912df5cc0e001161af0011617f012d330200116188481f9302001161889328930200116188012d93020011618801ba760200116192012d3302ffffff","2021-04-05T18:20:25.893Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:17:08.867Z","277ACAC128203005","0","118","9328","1139090","2","1","1139174","0e","109","6d1677912df5cc0e001161e60011619201ba160100116192481f330200116192932876020011619b012d33020011619b01ba93020011619b481f9302ffffff","2021-04-05T18:20:21.867Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:17:17.867Z","277ACAC128203005","0","147","481F","1139099","2","1","1139174","0e","109","6d1677912df5cc0e001161e60011619201ba160100116192481f330200116192932876020011619b012d33020011619b01ba93020011619b481f9302ffffff","2021-04-05T18:20:21.867Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:17:35.871Z","277ACAC128203005","0","118","9328","1139118","2","6","1139294","0e","9","091677912df5cc0e0011625e001161ae93287602001161b7481f9302001161b7012d3302001161b701ba1a02001161b793289302001161c0012d9302ffffff","2021-04-05T18:20:40.871Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:17:39.035Z","277ACAC128203005","0","147","481F","1139108","2","0","1139234","0e","32","201677912df5cc0e00116222001161a401ba3302001161a4012d9302001161a4481f9302001161ae01ba1601001161ae012d3302001161ae481f3302ffffff","2021-04-05T18:20:17.035Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:17:44.871Z","277ACAC128203005","0","147","9328","1139127","2","6","1139294","0e","9","091677912df5cc0e0011625e001161ae93287602001161b7481f9302001161b7012d3302001161b701ba1a02001161b793289302001161c0012d9302ffffff","2021-04-05T18:20:40.871Z","HELIUM","14"
"1677912DF5CC","2021-04-05T18:17:49.035Z","277ACAC128203005","0","51","481F","1139118","2","0","1139234","0e","32","201677912df5cc0e00116222001161a401ba3302001161a4012d9302001161a4481f9302001161ae01ba1601001161ae012d3302001161ae481f3302ffffff","2021-04-05T18:20:17.035Z","HELIUM","14"
