0,91,3,3,2
0,26,0,3,2
0,147,2,3,0
0,26,2,3,0
0,26,0,3,0
0,147,3,3,1
0,147,3,3,1
0,91,3,3,1
0,26,2,3,1
0,26,0,3,1
0,147,3,3,1
0,26,2,3,0
0,51,3,3,1
0,147,3,3,0
0,118,0,3,0
0,147,2,3,1
0,26,2,3,1
0,26,0,3,1
0,147,3,3,1
0,147,2,3,1
0,51,3,3,1
0,26,0,3,1
0,118,0,3,1
1,22,0,3,1
0,147,3,3,0
0,147,2,3,0
0,51,3,3,0
1,22,0,3,0
0,26,0,3,0
0,147,3,3,0
0,51,2,3,0
0,26,0,3,0
0,147,3,3,0
0,118,0,3,0
1,22,0,3,0
0,26,0,3,0
0,147,2,3,0
0,147,0,3,2
0,51,3,3,2
0,147,2,3,2
0,26,0,3,2
0,118,0,3,2
0,51,2,3,2
0,91,3,3,2
0,26,0,3,2
0,147,3,3,2
0,26,2,3,2
0,91,3,3,0
0,51,0,3,0
0,147,2,3,0
0,51,2,3,2
0,26,0,3,2
0,147,0,3,2
0,147,3,3,2
1,22,0,3,2
0,51,0,3,2
0,147,3,3,2
0,26,2,3,2
0,26,0,3,0
0,147,3,3,0
0,26,2,3,0
0,91,3,3,1
0,26,0,3,1
0,147,3,3,1
1,22,0,3,1
0,26,2,3,1
0,26,0,3,1
0,147,3,3,1
1,22,0,3,0
0,51,0,3,0
0,118,0,3,1
0,147,2,3,0
0,51,3,3,1
0,51,0,3,1
0,51,0,3,1
0,147,2,3,1
0,26,2,3,1
0,51,0,3,1
0,147,3,3,1
1,22,0,3,1
0,78,0,3,0
0,147,0,3,0
1,22,0,3,0
0,51,3,3,0
0,51,0,3,0
0,118,0,3,0
1,22,0,3,0
0,26,0,3,0
0,147,2,3,0
0,147,3,3,2
0,51,3,3,2
0,26,0,3,2
0,147,2,3,2
0,147,3,3,2
1,22,0,3,2
0,51,0,3,2
0,147,0,3,0
0,26,2,3,0
0,51,0,3,2
0,118,0,3,2
0,26,2,3,2
0,147,3,3,2
0,51,0,3,2
0,147,2,2,0
0,147,2,2,0
1,22,0,2,0
0,91,3,1,3
1,22,0,2,0
0,147,3,1,3
0,147,3,0,3
0,118,0,1,3
1,22,0,0,3
0,51,0,0,3
0,147,2,0,3
0,147,3,0,3
1,22,0,0,3
0,51,0,0,3
0,147,0,0,3
0,91,3,0,3
0,51,0,2,1
0,51,0,2,1
0,147,2,2,1
0,147,2,2,1
1,22,0,2,1
0,51,3,2,0
1,22,0,2,1
0,147,3,2,0
0,147,0,2,0
0,51,3,0,3
0,118,0,0,3
0,118,0,0,3
0,51,3,0,3
